Age (months)	Age (years)	16	17	18.5	23	25	27	30	35
24	2	13.6	14.29	15.24	17.54	18.36	19.07	19.99	21.2
25	2.08	13.58	14.26	15.2	17.49	18.31	19.03	19.95	21.16
26	2.17	13.55	14.23	15.16	17.45	18.26	18.98	19.9	21.11
27	2.25	13.52	14.2	15.13	17.41	18.22	18.93	19.85	21.07
28	2.33	13.5	14.17	15.09	17.36	18.17	18.89	19.81	21.03
29	2.42	13.47	14.14	15.06	17.32	18.13	18.85	19.77	20.99
30	2.5	13.44	14.11	15.02	17.28	18.09	18.8	19.73	20.95
31	2.58	13.42	14.08	14.99	17.24	18.05	18.76	19.68	20.91
32	2.67	13.39	14.05	14.95	17.2	18	18.72	19.64	20.88
33	2.75	13.37	14.02	14.92	17.16	17.97	18.68	19.61	20.84
34	2.83	13.34	13.99	14.89	17.12	17.93	18.64	19.57	20.81
35	2.92	13.32	13.96	14.86	17.08	17.89	18.61	19.54	20.78
36	3	13.3	13.94	14.83	17.05	17.85	18.57	19.5	20.75
37	3.08	13.27	13.91	14.8	17.01	17.82	18.54	19.47	20.72
38	3.17	13.25	13.89	14.77	16.98	17.79	18.5	19.44	20.7
39	3.25	13.23	13.86	14.74	16.95	17.75	18.47	19.41	20.67
40	3.33	13.21	13.84	14.71	16.91	17.72	18.44	19.38	20.65
41	3.42	13.19	13.81	14.68	16.88	17.69	18.41	19.36	20.63
42	3.5	13.16	13.79	14.66	16.85	17.66	18.38	19.33	20.61
43	3.58	13.14	13.76	14.63	16.83	17.63	18.36	19.31	20.6
44	3.67	13.12	13.74	14.61	16.8	17.61	18.33	19.29	20.59
45	3.75	13.1	13.72	14.58	16.77	17.58	18.31	19.27	20.57
46	3.83	13.08	13.7	14.56	16.75	17.56	18.29	19.25	20.56
47	3.92	13.06	13.67	14.53	16.72	17.54	18.27	19.24	20.56
48	4	13.04	13.65	14.51	16.7	17.52	18.25	19.23	20.56
49	4.08	13.02	13.63	14.49	16.68	17.5	18.24	19.21	20.56
50	4.17	13	13.61	14.46	16.66	17.48	18.22	19.21	20.56
51	4.25	12.98	13.59	14.44	16.64	17.46	18.21	19.2	20.56
52	4.33	12.96	13.57	14.42	16.62	17.45	18.2	19.2	20.57
53	4.42	12.94	13.55	14.4	16.61	17.44	18.19	19.2	20.59
54	4.5	12.92	13.53	14.38	16.59	17.43	18.19	19.2	20.6
55	4.58	12.9	13.51	14.36	16.58	17.42	18.18	19.2	20.63
56	4.67	12.88	13.49	14.34	16.56	17.41	18.18	19.21	20.65
57	4.75	12.86	13.47	14.32	16.55	17.4	18.18	19.22	20.68
58	4.83	12.84	13.44	14.3	16.54	17.4	18.18	19.23	20.71
59	4.92	12.82	13.42	14.28	16.53	17.39	18.19	19.25	20.75
60	5	12.8	13.4	14.26	16.52	17.39	18.19	19.27	20.79
61	5.08	12.78	13.38	14.24	16.51	17.39	18.2	19.29	20.84
62	5.17	12.75	13.36	14.22	16.51	17.4	18.21	19.32	20.89
63	5.25	12.73	13.34	14.2	16.5	17.4	18.23	19.35	20.95
64	5.33	12.71	13.32	14.18	16.5	17.41	18.24	19.38	21.01
65	5.42	12.69	13.3	14.17	16.5	17.41	18.26	19.42	21.08
66	5.5	12.66	13.27	14.15	16.5	17.42	18.28	19.46	21.15
67	5.58	12.64	13.25	14.13	16.5	17.44	18.31	19.5	21.23
68	5.67	12.62	13.23	14.11	16.5	17.45	18.33	19.55	21.31
69	5.75	12.6	13.21	14.1	16.51	17.46	18.36	19.59	21.4
70	5.83	12.58	13.19	14.08	16.51	17.48	18.39	19.65	21.49
71	5.92	12.56	13.18	14.07	16.52	17.5	18.42	19.7	21.59
72	6	12.54	13.16	14.06	16.52	17.52	18.45	19.76	21.69
73	6.08	12.52	13.14	14.04	16.53	17.54	18.49	19.82	21.79
74	6.17	12.5	13.12	14.03	16.54	17.56	18.53	19.88	21.9
75	6.25	12.48	13.11	14.02	16.56	17.59	18.57	19.94	22.01
76	6.33	12.47	13.1	14.01	16.57	17.62	18.61	20.01	22.12
77	6.42	12.45	13.08	14.01	16.58	17.64	18.65	20.08	22.24
78	6.5	12.44	13.07	14	16.6	17.67	18.7	20.15	22.35
79	6.58	12.43	13.06	14	16.62	17.7	18.74	20.22	22.47
80	6.67	12.42	13.06	13.99	16.64	17.73	18.79	20.29	22.59
81	6.75	12.41	13.05	13.99	16.66	17.77	18.84	20.36	22.71
82	6.83	12.4	13.05	13.99	16.68	17.8	18.89	20.44	22.83
83	6.92	12.39	13.04	13.99	16.7	17.84	18.94	20.51	22.96
84	7	12.39	13.04	14	16.73	17.88	18.99	20.59	23.08
85	7.08	12.39	13.04	14	16.75	17.91	19.04	20.66	23.21
86	7.17	12.39	13.04	14.01	16.78	17.95	19.09	20.74	23.33
87	7.25	12.39	13.04	14.02	16.81	17.99	19.15	20.82	23.45
88	7.33	12.39	13.05	14.02	16.84	18.04	19.2	20.9	23.58
89	7.42	12.39	13.05	14.04	16.87	18.08	19.26	20.98	23.7
90	7.5	12.39	13.06	14.05	16.9	18.12	19.32	21.06	23.83
91	7.58	12.4	13.07	14.06	16.93	18.17	19.38	21.14	23.95
92	7.67	12.4	13.07	14.07	16.97	18.21	19.43	21.22	24.08
93	7.75	12.41	13.08	14.09	17	18.26	19.5	21.3	24.21
94	7.83	12.41	13.09	14.1	17.04	18.31	19.56	21.39	24.34
95	7.92	12.42	13.1	14.12	17.08	18.36	19.62	21.47	24.47
96	8	12.43	13.11	14.13	17.12	18.41	19.68	21.56	24.6
97	8.08	12.44	13.13	14.15	17.15	18.46	19.75	21.65	24.74
98	8.17	12.44	13.14	14.17	17.19	18.51	19.81	21.74	24.88
99	8.25	12.45	13.15	14.18	17.23	18.56	19.88	21.83	25.02
100	8.33	12.46	13.16	14.2	17.27	18.62	19.95	21.92	25.16
101	8.42	12.47	13.17	14.22	17.32	18.67	20.02	22.02	25.31
102	8.5	12.48	13.19	14.24	17.36	18.73	20.09	22.11	25.45
103	8.58	12.49	13.2	14.26	17.4	18.78	20.16	22.21	25.61
104	8.67	12.5	13.21	14.28	17.44	18.84	20.23	22.31	25.76
105	8.75	12.51	13.23	14.3	17.49	18.9	20.3	22.41	25.92
106	8.83	12.52	13.24	14.32	17.53	18.95	20.37	22.51	26.07
107	8.92	12.53	13.25	14.34	17.57	19.01	20.45	22.61	26.23
108	9	12.54	13.27	14.36	17.62	19.07	20.52	22.71	26.4
109	9.08	12.55	13.28	14.38	17.67	19.13	20.6	22.82	26.56
110	9.17	12.56	13.3	14.4	17.71	19.19	20.67	22.92	26.72
111	9.25	12.58	13.31	14.42	17.76	19.25	20.75	23.03	26.89
112	9.33	12.59	13.33	14.44	17.8	19.31	20.83	23.13	27.05
113	9.42	12.6	13.35	14.47	17.85	19.37	20.9	23.24	27.22
114	9.5	12.61	13.36	14.49	17.9	19.43	20.98	23.34	27.39
115	9.58	12.63	13.38	14.51	17.94	19.49	21.06	23.45	27.55
116	9.67	12.64	13.4	14.53	17.99	19.55	21.13	23.55	27.71
117	9.75	12.65	13.41	14.56	18.04	19.61	21.21	23.66	27.88
118	9.83	12.67	13.43	14.58	18.09	19.67	21.29	23.76	28.04
119	9.92	12.68	13.45	14.61	18.13	19.74	21.36	23.86	28.2
120	10	12.7	13.47	14.63	18.18	19.8	21.44	23.96	28.35
121	10.08	12.71	13.49	14.66	18.23	19.86	21.51	24.06	28.51
122	10.17	12.73	13.51	14.68	18.28	19.92	21.59	24.16	28.65
123	10.25	12.74	13.53	14.71	18.32	19.97	21.66	24.25	28.8
124	10.33	12.76	13.55	14.73	18.37	20.04	21.73	24.35	28.94
125	10.42	12.78	13.57	14.76	18.42	20.09	21.8	24.44	29.08
126	10.5	12.8	13.59	14.79	18.47	20.15	21.88	24.54	29.22
